query,lat,lon,lat_min,lat_max,lon_min,lon_max
Fremont Blvd and Eggers Dr (56505) Fremont,37.5529468,-121.9965127,37.5528968,37.5529968,-121.9965627,-121.9964627
11th st and Broadway Oakland,37.8018947,-122.2718405,37.8018447,37.8019447,-122.2718905,-122.2717905
Styx CA USA,33.8780735,-114.7952436,33.8580735,33.8980735,-114.8152436,-114.7752436
on the bus CA USA,43.0351449,-87.9083029,43.0350949,43.0351949,-87.9083529,-87.9082529
n/a CA USA,34.2727885,-119.2609533,34.2727385,34.2728385,-119.2610033,-119.2609033
New Park Mall (51112) Newark,NA,NA,NA,NA,NA,NA
San Pablo Av and Stone St (56111) San Pablo,37.9658117,-122.3449252,37.9657617,37.9658617,-122.3449752,-122.3448752
Martin Luther King and Ashby Berkeley,NA,NA,NA,NA,NA,NA
E 14th St and 141st Av (51228) San Leandro,37.7128407,-122.1392003,37.7127907,37.7128907,-122.1392503,-122.1391503
Pleasant Valley Av Piedmont,37.8283794,-122.2443679,37.8283499,37.8283794,-122.2443679,-122.2442528
San Leandro BART Station (53999) San Leandro,37.7215513,-122.160358,37.7215013,37.7216013,-122.160408,-122.160308
Hilltop Mall (57888) Richmond,37.9806212,-122.32844102727108,37.9780757,37.9833442,-122.3326542,-122.3242347
Rothway Gargage Stanford,NA,NA,NA,NA,NA,NA
Hays St and W Juana Av (53239) San Leandro,37.722867,-122.156349,37.722817,37.722917,-122.156399,-122.156299
San Pablo Av and Vale Rd (55578) San Pablo,37.955175,-122.3354418,37.955125,37.955225,-122.3354918,-122.3353918
University at Shattuck Berkeley,37.876146649999995,-122.26852755,37.8757212,37.8765721,-122.2687054,-122.2683497
Telegraph Av and Russell St (52424) Berkeley,37.8579421,-122.2593377,37.8578921,37.8579921,-122.2593877,-122.2592877
11th St and Broadway (12th St BART Station) (54777) Oakland,NA,NA,NA,NA,NA,NA
on the bus CA USA,43.0351449,-87.9083029,43.0350949,43.0351949,-87.9083529,-87.9082529
Decoto Rd and Fremont Blvd (50501) Fremont,37.5716267,-122.0315043,37.5715767,37.5716767,-122.0315543,-122.0314543
Park Blvd at Everett Oakland,NA,NA,NA,NA,NA,NA
MacArthur Blvd and 56th Av (51375) Oakland,37.7773531,-122.1875526,37.7773031,37.7774031,-122.1876026,-122.1875026
University Av and 6th St (51105) Berkeley,37.8679427,-122.297351,37.8678927,37.8679927,-122.297401,-122.297301
"San Pablo and Alcatraz Ave, Emeryville, CA CA USA",NA,NA,NA,NA,NA,NA
Monroe Av and 10th St (51783) Albany,37.884267,-122.2985151,37.884217,37.884317,-122.2985651,-122.2984651
P Line Piedmont,14.7078821,121.079032,14.7074006,14.7087798,121.0780852,121.0799772
"425 Mission St San Francisco, CA - Salesforce Transit Center San Francisco",NA,NA,NA,NA,NA,NA
B St Bart 99 north CA USA,NA,NA,NA,NA,NA,NA
Grand Av and Euclid Av (56446) Oakland,37.8087132,-122.2514283,37.8086632,37.8087632,-122.2514783,-122.2513783
on the bus CA USA,43.0351449,-87.9083029,43.0350949,43.0351949,-87.9083529,-87.9082529
San Pablo and Food Max CA USA,NA,NA,NA,NA,NA,NA
"Encinal and Park, O or OX bus CA USA",NA,NA,NA,NA,NA,NA
San Pablo and Tulare CA USA,NA,NA,NA,NA,NA,NA
Warrant ave and warm springs blvd CA USA,NA,NA,NA,NA,NA,NA
NA CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
Martin Luther King Jr Way and Derby St (55045) Berkeley,NA,NA,NA,NA,NA,NA
na Berkeley,37.8739663,-122.2834392,37.8689663,37.8789663,-122.2884392,-122.2784392
University and Shattuck Berkeley,37.876146649999995,-122.26852755,37.8757212,37.8765721,-122.2687054,-122.2683497
17th and 19th on Franklin Oakland,NA,NA,NA,NA,NA,NA
